K	Conf	Term	2S+1	L	P	2J	CF	AS(Ryd)	NIST(Ryd)	Energy
251	3s.18p	3P*	3	1	1	0	72	0.558333	-1.000000	0.558333
252	3s.18p	3P*	3	1	1	2	72	0.558333	-1.000000	0.558333
253	3s.18p	3P*	3	1	1	4	72	0.558334	-1.000000	0.558334
254	3s.18p	1P*	1	1	1	2	72	0.558508	0.558508	0.558508
255	3s.19s	3S	3	0	0	2	74	0.558530	-1.000000	0.558530
256	3s.19s	1S	1	0	0	0	74	0.558680	-1.000000	0.558680
257	3s.18d	1D	1	2	0	4	73	0.558683	0.558683	0.558683
258	3s.18d	3D	3	2	0	2	73	0.558705	-1.000000	0.558705
259	3s.18d	3D	3	2	0	4	73	0.558705	-1.000000	0.558705
260	3s.18d	3D	3	2	0	6	73	0.558705	-1.000000	0.558705
261	3s.19p	3P*	3	1	1	0	75	0.558712	-1.000000	0.558712
262	3s.19p	3P*	3	1	1	2	75	0.558712	-1.000000	0.558712
263	3s.19p	3P*	3	1	1	4	75	0.558713	-1.000000	0.558713
264	3s.20s	3S	3	0	0	2	77	0.558878	-1.000000	0.558878
265	3s.19p	1P*	1	1	1	2	75	0.558885	0.558885	0.558885
266	3s.19d	3D	3	2	0	2	76	0.559027	-1.000000	0.559027
267	3s.19d	3D	3	2	0	4	76	0.559027	-1.000000	0.559027
268	3s.19d	3D	3	2	0	6	76	0.559027	-1.000000	0.559027
269	3s.19d	1D	1	2	0	4	76	0.559032	0.559032	0.559032
270	3s.20p	3P*	3	1	1	0	78	0.559034	-1.000000	0.559034
271	3s.20p	3P*	3	1	1	2	78	0.559034	-1.000000	0.559034
272	3s.20p	3P*	3	1	1	4	78	0.559035	-1.000000	0.559035
273	3s.20s	1S	1	0	0	0	77	0.559108	-1.000000	0.559108
274	3s.20p	1P*	1	1	1	2	78	0.559204	0.559204	0.559204
275	3s.20d	3D	3	2	0	2	79	0.559302	-1.000000	0.559302
276	3s.20d	3D	3	2	0	4	79	0.559302	-1.000000	0.559302
277	3s.20d	3D	3	2	0	6	79	0.559302	-1.000000	0.559302
278	3s.20d	1D	1	2	0	4	79	0.559328	0.559328	0.559328
279	3p2	1D	1	2	0	4	13	0.634702	-1.000000	0.634702
280	3p2	1S	1	0	0	0	13	0.688048	-1.000000	0.688048
