Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki
3s.10d	1D	1	2	0	5	0.55072514	3s.5p	1P*	1	1	1	3	0.49852264	1.250e-06
3s.10d	3D	3	2	0	15	0.55163860	3s.3p	3P*	3	1	1	9	0.19948414	8.145e-02
3s.10d	3D	3	2	0	15	0.55163860	3s.4p	3P*	3	1	1	9	0.43602120	2.545e-05
3s.10d	3D	3	2	0	15	0.55163860	3s.5p	3P*	3	1	1	9	0.49437523	2.130e-07
3s.11p	3P*	3	1	1	9	0.55164600	3s.3d	3D	3	2	0	15	0.43701672	7.040e-07
3s.10f	1F*	1	3	1	7	0.55188736	3s2	1S	1	0	0	1	0.00000000	5.861e-02
3s.10f	1F*	1	3	1	7	0.55188736	3s.4s	1S	1	0	0	1	0.39643154	1.032e-04
3s.10f	1F*	1	3	1	7	0.55188736	3s.3d	1D	1	2	0	5	0.42285584	1.082e-05
3s.10f	1F*	1	3	1	7	0.55188736	3s.5s	1S	1	0	0	1	0.47892739	6.877e-07
3s.10f	1F*	1	3	1	7	0.55188736	3s.4d	1D	1	2	0	5	0.48419848	1.159e-07
3s.10f	3F*	3	3	1	21	0.55188736	3s.4s	3S	3	0	0	3	0.37541836	1.143e-04
3s.10f	3F*	3	3	1	21	0.55188736	3s.3d	3D	3	2	0	15	0.43701672	1.514e-06
3s.10f	3F*	3	3	1	21	0.55188736	3s.5s	3S	3	0	0	3	0.47269724	9.651e-07
3s.11p	1P*	1	1	1	3	0.55189390	3s.3d	1D	1	2	0	5	0.42285584	1.259e-03
3s.11p	1P*	1	1	1	3	0.55189390	3s.4d	1D	1	2	0	5	0.48419848	2.645e-05
3s.11p	1P*	1	1	1	3	0.55189390	3s.5d	1D	1	2	0	5	0.51311972	8.746e-07
3s.12s	3S	3	0	0	3	0.55268770	3s.4f	3F*	3	3	1	21	0.49825087	4.979e-07
3s.11d	1D	1	2	0	5	0.55277180	3s.3p	1P*	1	1	1	3	0.31941062	6.829e-02
3s.11d	1D	1	2	0	5	0.55277180	3s.4p	1P*	1	1	1	3	0.44968048	2.622e-04
3s.11d	1D	1	2	0	5	0.55277180	3s.5p	1P*	1	1	1	3	0.49852264	3.083e-06
3s.12s	1S	1	0	0	1	0.55304500	3s.4f	1F*	1	3	1	7	0.49824836	3.154e-07
3s.12p	3P*	3	1	1	9	0.55342800	3s.3d	3D	3	2	0	15	0.43701672	9.188e-07
3s.11d	3D	3	2	0	15	0.55346150	3s.3p	3P*	3	1	1	9	0.19948414	1.440e-01
3s.11d	3D	3	2	0	15	0.55346150	3s.4p	3P*	3	1	1	9	0.43602120	4.810e-05
3s.11d	3D	3	2	0	15	0.55346150	3s.5p	3P*	3	1	1	9	0.49437523	4.480e-07
3s.11f	1F*	1	3	1	7	0.55364726	3s2	1S	1	0	0	1	0.00000000	1.336e-01
3s.11f	1F*	1	3	1	7	0.55364726	3s.4s	1S	1	0	0	1	0.39643154	2.552e-04
3s.11f	1F*	1	3	1	7	0.55364726	3s.3d	1D	1	2	0	5	0.42285584	2.456e-05
3s.11f	1F*	1	3	1	7	0.55364726	3s.5s	1S	1	0	0	1	0.47892739	2.148e-06
3s.11f	1F*	1	3	1	7	0.55364726	3s.4d	1D	1	2	0	5	0.48419848	3.898e-07
3s.11f	3F*	3	3	1	21	0.55364726	3s.4s	3S	3	0	0	3	0.37541836	2.740e-04
3s.11f	3F*	3	3	1	21	0.55364726	3s.3d	3D	3	2	0	15	0.43701672	2.887e-06
3s.11f	3F*	3	3	1	21	0.55364726	3s.5s	3S	3	0	0	3	0.47269724	1.698e-06
3s.12p	1P*	1	1	1	3	0.55365060	3s.3d	1D	1	2	0	5	0.42285584	2.033e-03
3s.12p	1P*	1	1	1	3	0.55365060	3s.4d	1D	1	2	0	5	0.48419848	4.545e-05
3s.12p	1P*	1	1	1	3	0.55365060	3s.5d	1D	1	2	0	5	0.51311972	1.561e-06
3s.13s	3S	3	0	0	3	0.55425240	3s.4f	3F*	3	3	1	21	0.49825087	1.870e-06
3s.13s	3S	3	0	0	3	0.55425240	3s.5f	3F*	3	3	1	21	0.52128370	1.114e-07
3s.12d	1D	1	2	0	5	0.55430930	3s.3p	1P*	1	1	1	3	0.31941062	1.164e-01
3s.12d	1D	1	2	0	5	0.55430930	3s.4p	1P*	1	1	1	3	0.44968048	4.850e-04
3s.12d	1D	1	2	0	5	0.55430930	3s.4f	1F*	1	3	1	7	0.49824836	2.268e-07
3s.12d	1D	1	2	0	5	0.55430930	3s.5p	1P*	1	1	1	3	0.49852264	6.841e-06
3s.12d	1D	1	2	0	5	0.55430930	3s.6p	1P*	1	1	1	3	0.52138137	1.427e-07
3s.13s	1S	1	0	0	1	0.55449800	3s.4f	1F*	1	3	1	7	0.49824836	1.378e-06
3s.13p	3P*	3	1	1	9	0.55478100	3s.3d	3D	3	2	0	15	0.43701672	1.503e-06
3s.12d	3D	3	2	0	15	0.55484160	3s.3p	3P*	3	1	1	9	0.19948414	2.680e-01
3s.12d	3D	3	2	0	15	0.55484160	3s.4p	3P*	3	1	1	9	0.43602120	9.417e-05
3s.12d	3D	3	2	0	15	0.55484160	3s.5p	3P*	3	1	1	9	0.49437523	9.410e-07
3s.12f	1F*	1	3	1	7	0.55498440	3s2	1S	1	0	0	1	0.00000000	3.163e-01
3s.12f	1F*	1	3	1	7	0.55498440	3s.4s	1S	1	0	0	1	0.39643154	6.403e-04
3s.12f	1F*	1	3	1	7	0.55498440	3s.3d	1D	1	2	0	5	0.42285584	5.555e-05
3s.12f	1F*	1	3	1	7	0.55498440	3s.5s	1S	1	0	0	1	0.47892739	6.120e-06
3s.12f	1F*	1	3	1	7	0.55498440	3s.4d	1D	1	2	0	5	0.48419848	1.077e-06
3s.12f	1F*	1	3	1	7	0.55498440	3s.6s	1S	1	0	0	1	0.51201246	1.229e-07
3s.12f	3F*	3	3	1	21	0.55498440	3s.4s	3S	3	0	0	3	0.37541836	6.782e-04
3s.12f	3F*	3	3	1	21	0.55498440	3s.3d	3D	3	2	0	15	0.43701672	5.863e-06
3s.12f	3F*	3	3	1	21	0.55498440	3s.5s	3S	3	0	0	3	0.47269724	3.546e-06
3s.12f	3F*	3	3	1	21	0.55498440	3s.4d	3D	3	2	0	15	0.49383643	1.004e-07
3s.12f	3F*	3	3	1	21	0.55498440	3s.6s	3S	3	0	0	3	0.50932360	1.413e-07
3s.13p	1P*	1	1	1	3	0.55498830	3s.3d	1D	1	2	0	5	0.42285584	3.302e-03
3s.13p	1P*	1	1	1	3	0.55498830	3s.4d	1D	1	2	0	5	0.48419848	7.739e-05
3s.13p	1P*	1	1	1	3	0.55498830	3s.5d	1D	1	2	0	5	0.51311972	2.753e-06
3s.13p	1P*	1	1	1	3	0.55498830	3s.6d	1D	1	2	0	5	0.52874672	1.694e-07
3s.14s	3S	3	0	0	3	0.55545280	3s.4f	3F*	3	3	1	21	0.49825087	7.993e-06
