Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf	source
3s.4f	3F*	3	3	1	7	0.49825076	3s.3d	3D	3	2	0	5	0.43701659	1.480e+07	6.890e-01	3.445e+00	nist
3s.4f	3F*	3	3	1	7	0.49825076	3s.3d	3D	3	2	0	7	0.43701675	2.108e+06	6.999e-02	4.899e-01	auto
3s.4f	3F*	3	3	1	7	0.49825076	3s.4d	1D	1	2	0	5	0.48419848	1.230e+04	1.086e-02	5.428e-02	auto
3s.4f	3F*	3	3	1	7	0.49825076	3s.4d	3D	3	2	0	5	0.49383652	2.246e+04	2.009e-01	1.004e+00	auto
3s.4f	3F*	3	3	1	7	0.49825076	3s.4d	3D	3	2	0	7	0.49383617	2.807e+03	1.793e-02	1.255e-01	auto
3s.4f	3F*	3	3	1	9	0.49825125	3s.3d	3D	3	2	0	7	0.43701675	1.670e+07	7.120e-01	4.984e+00	nist
3s.4f	3F*	3	3	1	9	0.49825125	3s.4d	3D	3	2	0	7	0.49383617	2.564e+04	2.105e-01	1.474e+00	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s2	1S	1	0	0	1	0.00000000	1.600e+07	2.400e-02	2.400e-02	nist
3s.5p	1P*	1	1	1	3	0.49852264	3s.4s	3S	3	0	0	3	0.37541836	4.729e+01	3.885e-07	1.165e-06	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.4s	1S	1	0	0	1	0.39643154	5.860e+05	2.100e-02	2.100e-02	nist
3s.5p	1P*	1	1	1	3	0.49852264	3s.3d	1D	1	2	0	5	0.42285584	4.520e+05	5.900e-03	2.950e-02	nist
3s.5p	1P*	1	1	1	3	0.49852264	3s.3d	3D	3	2	0	3	0.43701687	1.363e+00	4.486e-08	1.346e-07	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.3d	3D	3	2	0	5	0.43701659	4.228e+00	8.348e-08	4.174e-07	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.5s	3S	3	0	0	3	0.47269724	6.221e+01	1.161e-05	3.484e-05	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.5s	1S	1	0	0	1	0.47892739	1.810e+06	1.760e+00	1.760e+00	nist
3s.5p	1P*	1	1	1	3	0.49852264	3s.4d	1D	1	2	0	5	0.48419848	7.823e+05	2.848e-01	1.424e+00	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.4d	3D	3	2	0	3	0.49383689	2.735e-01	1.551e-06	4.652e-06	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.4d	3D	3	2	0	5	0.49383652	8.251e-01	2.807e-06	1.403e-05	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.3p	3P*	3	1	1	1	0.19911554	1.370e+06	5.330e-03	5.330e-03	nist
3s.6s	3S	3	0	0	3	0.50932360	3s.3p	3P*	3	1	1	3	0.19929833	4.120e+06	5.330e-03	1.599e-02	nist
3s.6s	3S	3	0	0	3	0.50932360	3s.3p	3P*	3	1	1	5	0.19966935	6.830e+06	5.320e-03	2.660e-02	nist
3s.6s	3S	3	0	0	3	0.50932360	3s.3p	1P*	1	1	1	3	0.31941062	9.221e+00	3.183e-08	9.549e-08	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.4p	3P*	3	1	1	1	0.43596035	3.130e+05	2.170e-02	2.170e-02	nist
3s.6s	3S	3	0	0	3	0.50932360	3s.4p	3P*	3	1	1	3	0.43599038	9.330e+05	2.160e-02	6.480e-02	nist
3s.6s	3S	3	0	0	3	0.50932360	3s.4p	3P*	3	1	1	5	0.43605187	1.550e+06	2.160e-02	1.080e-01	nist
3s.6s	3S	3	0	0	3	0.50932360	3s.4p	1P*	1	1	1	3	0.44968048	1.087e+01	3.804e-07	1.141e-06	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.5p	3P*	3	1	1	1	0.49435152	2.634e+05	4.389e-01	4.389e-01	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.5p	3P*	3	1	1	3	0.49436316	7.877e+05	4.381e-01	1.314e+00	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.5p	3P*	3	1	1	5	0.49438722	1.305e+06	4.369e-01	2.185e+00	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.4f	3F*	3	3	1	5	0.49825033	3.963e-16	2.414e-22	1.207e-21	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.5p	1P*	1	1	1	3	0.49852264	3.793e+00	4.048e-06	1.214e-05	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.3p	3P*	3	1	1	3	0.19929833	4.387e+01	1.862e-08	5.585e-08	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.3p	1P*	1	1	1	3	0.31941062	1.340e+06	1.500e-03	4.500e-03	nist
3s.6s	1S	1	0	0	1	0.51201246	3s.4p	3P*	3	1	1	3	0.43599038	4.337e+01	3.114e-07	9.342e-07	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.4p	1P*	1	1	1	3	0.44968048	1.870e+06	2.000e-02	6.000e-02	nist
3s.6s	1S	1	0	0	1	0.51201246	3s.5p	3P*	3	1	1	3	0.49436316	8.727e+01	1.163e-05	3.488e-05	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.5p	1P*	1	1	1	3	0.49852264	2.591e+06	5.909e-01	1.773e+00	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.3p	3P*	3	1	1	3	0.19929833	8.704e+02	1.834e-06	5.501e-06	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.3p	3P*	3	1	1	5	0.19966935	1.728e+03	2.190e-06	1.095e-05	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.3p	1P*	1	1	1	3	0.31941062	2.190e+07	1.210e-01	3.630e-01	nist
3s.5d	1D	1	2	0	5	0.51311972	3s.4p	3P*	3	1	1	3	0.43599038	2.647e+00	9.232e-08	2.770e-07	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.4p	3P*	3	1	1	5	0.43605187	2.136e-02	4.477e-10	2.239e-09	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.4p	1P*	1	1	1	3	0.44968048	2.910e+04	1.500e-03	4.500e-03	nist
3s.5d	1D	1	2	0	5	0.51311972	3s.5p	3P*	3	1	1	3	0.49436316	5.824e+01	3.435e-05	1.030e-04	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.5p	3P*	3	1	1	5	0.49438722	7.113e-04	2.524e-10	1.262e-09	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.4f	1F*	1	3	1	7	0.49824836	1.620e+05	6.514e-02	4.560e-01	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.4f	3F*	3	3	1	5	0.49825033	3.064e-07	1.725e-13	8.626e-13	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.4f	3F*	3	3	1	7	0.49825076	2.378e+03	9.565e-04	6.695e-03	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.5p	1P*	1	1	1	3	0.49852264	1.803e+06	1.756e+00	5.267e+00	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.3p	3P*	3	1	1	1	0.19911554	1.310e+07	4.790e-02	4.790e-02	nist
3s.5d	3D	3	2	0	3	0.51913308	3s.3p	3P*	3	1	1	3	0.19929833	8.377e+06	1.019e-02	3.058e-02	auto
