Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	source
3s.4f	3F*	3	3	1	7	0.49825076	3s.4p	3P*	3	1	1	3	0.43599038	9.090e+00	auto
3s.4f	3F*	3	3	1	7	0.49825076	3s.4p	3P*	3	1	1	5	0.43605187	4.513e+00	auto
3s.4f	3F*	3	3	1	7	0.49825076	3s.4p	1P*	1	1	1	3	0.44968048	1.182e-01	auto
3s.4f	3F*	3	3	1	7	0.49825076	3s.5p	3P*	3	1	1	3	0.49436316	3.535e-05	auto
3s.4f	3F*	3	3	1	7	0.49825076	3s.5p	3P*	3	1	1	5	0.49438722	1.700e-05	auto
3s.4f	3F*	3	3	1	9	0.49825125	3s.3p	3P*	3	1	1	5	0.19966935	1.568e+02	auto
3s.4f	3F*	3	3	1	9	0.49825125	3s.4p	3P*	3	1	1	5	0.43605187	1.374e+01	auto
3s.4f	3F*	3	3	1	9	0.49825125	3s.5p	3P*	3	1	1	5	0.49438722	5.177e-05	auto
3s.4f	3F*	3	3	1	9	0.49825125	3s.4f	3F*	3	3	1	5	0.49825033	1.801e-25	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.3p	3P*	3	1	1	1	0.19911554	4.432e-06	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.3p	3P*	3	1	1	3	0.19929833	3.278e-04	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.3p	3P*	3	1	1	5	0.19966935	3.987e-04	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.3p	1P*	1	1	1	3	0.31941062	6.996e+00	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.4p	3P*	3	1	1	1	0.43596035	4.548e-08	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.4p	3P*	3	1	1	3	0.43599038	1.436e-04	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.4p	3P*	3	1	1	5	0.43605187	5.488e-05	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.4p	1P*	1	1	1	3	0.44968048	3.092e+00	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.5p	3P*	3	1	1	1	0.49435152	2.732e-08	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.4f	1F*	1	3	1	7	0.49824836	1.721e-10	auto
3s.5p	1P*	1	1	1	3	0.49852264	3s.4f	3F*	3	3	1	7	0.49825076	2.278e-12	auto
3s.6s	3S	3	0	0	3	0.50932360	3s2	1S	1	0	0	1	0.00000000	1.159e-15	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.4s	1S	1	0	0	1	0.39643154	1.674e-18	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.3d	3D	3	2	0	3	0.43701687	5.137e-04	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.3d	3D	3	2	0	5	0.43701659	8.554e-04	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.3d	3D	3	2	0	7	0.43701675	1.196e-03	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.5s	1S	1	0	0	1	0.47892739	4.159e-19	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.4d	3D	3	2	0	3	0.49383689	4.459e-02	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.4d	3D	3	2	0	5	0.49383652	7.431e-02	auto
3s.6s	3S	3	0	0	3	0.50932360	3s.4d	3D	3	2	0	7	0.49383617	1.040e-01	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.4s	3S	3	0	0	3	0.37541836	7.285e-15	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.3d	1D	1	2	0	5	0.42285584	2.235e+00	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.3d	3D	3	2	0	3	0.43701687	2.216e-13	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.3d	3D	3	2	0	5	0.43701659	4.294e-09	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.5s	3S	3	0	0	3	0.47269724	9.224e-18	auto
