Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf
3s.16s	3S	3	0	0	3	0.55701300	3s.7p	3P*	3	1	1	9	0.53288523	1.760e+04	1.254e-03	1.129e-02
3s.16s	3S	3	0	0	3	0.55701300	3s.8p	3P*	3	1	1	9	0.54076870	1.072e+04	1.686e-03	1.517e-02
3s.16s	3S	3	0	0	3	0.55701300	3s.9p	3P*	3	1	1	9	0.54582950	7.209e+03	2.392e-03	2.153e-02
3s.16s	3S	3	0	0	3	0.55701300	3s.10p	3P*	3	1	1	9	0.54922800	5.304e+03	3.632e-03	3.269e-02
3s.16s	3S	3	0	0	3	0.55701300	3s.11p	3P*	3	1	1	9	0.55164600	4.166e+03	6.002e-03	5.401e-02
3s.16s	3S	3	0	0	3	0.55701300	3s.12p	3P*	3	1	1	9	0.55342800	3.484e+03	1.125e-02	1.012e-01
3s.16s	3S	3	0	0	3	0.55701300	3s.13p	3P*	3	1	1	9	0.55478100	3.133e+03	2.610e-02	2.349e-01
3s.16s	3S	3	0	0	3	0.55701300	3s.14p	3P*	3	1	1	9	0.55583100	3.204e+03	9.516e-02	8.564e-01
3s.16s	3S	3	0	0	3	0.55701300	3s.15p	3P*	3	1	1	9	0.55666200	5.360e+03	1.805e+00	1.625e+01
3s.15d	1D	1	2	0	5	0.55716800	3s.3p	1P*	1	1	1	3	0.31941062	5.065e+05	1.859e-03	5.577e-03
3s.15d	1D	1	2	0	5	0.55716800	3s.4p	1P*	1	1	1	3	0.44968048	1.056e+05	1.897e-03	5.690e-03
3s.15d	1D	1	2	0	5	0.55716800	3s.4f	1F*	1	3	1	7	0.49824836	3.791e+03	9.711e-05	6.798e-04
3s.15d	1D	1	2	0	5	0.55716800	3s.5p	1P*	1	1	1	3	0.49852264	3.980e+04	2.401e-03	7.204e-03
3s.15d	1D	1	2	0	5	0.55716800	3s.5f	1F*	1	3	1	7	0.52128269	4.598e+02	3.175e-05	2.223e-04
3s.15d	1D	1	2	0	5	0.55716800	3s.6p	1P*	1	1	1	3	0.52138137	1.814e+04	2.938e-03	8.815e-03
3s.15d	1D	1	2	0	5	0.55716800	3s.6f	1F*	1	3	1	7	0.53377902	7.346e+01	1.194e-05	8.359e-05
3s.15d	1D	1	2	0	5	0.55716800	3s.7p	1P*	1	1	1	3	0.53382230	1.012e+04	3.854e-03	1.156e-02
3s.15d	1D	1	2	0	5	0.55716800	3s.7f	1F*	1	3	1	7	0.54129958	5.940e+02	2.098e-04	1.468e-03
3s.15d	1D	1	2	0	5	0.55716800	3s.8p	1P*	1	1	1	3	0.54132160	6.464e+03	5.341e-03	1.602e-02
3s.15d	1D	1	2	0	5	0.55716800	3s.8f	3F*	3	3	1	21	0.54617128	1.075e+03	2.635e-04	5.534e-03
3s.15d	1D	1	2	0	5	0.55716800	3s.9p	1P*	1	1	1	3	0.54618280	4.531e+03	7.790e-03	2.337e-02
3s.15d	1D	1	2	0	5	0.55716800	3s.9f	1F*	1	3	1	7	0.54950572	1.389e+03	2.103e-03	1.472e-02
3s.15d	1D	1	2	0	5	0.55716800	3s.10p	1P*	1	1	1	3	0.54951500	3.398e+03	1.204e-02	3.611e-02
3s.15d	1D	1	2	0	5	0.55716800	3s.10f	1F*	1	3	1	7	0.55188736	1.559e+03	4.973e-03	3.481e-02
3s.15d	1D	1	2	0	5	0.55716800	3s.11p	1P*	1	1	1	3	0.55189390	2.694e+03	2.009e-02	6.028e-02
3s.15d	1D	1	2	0	5	0.55716800	3s.11f	1F*	1	3	1	7	0.55364726	1.620e+03	1.162e-02	8.135e-02
3s.15d	1D	1	2	0	5	0.55716800	3s.12p	1P*	1	1	1	3	0.55365060	2.246e+03	3.766e-02	1.130e-01
3s.15d	1D	1	2	0	5	0.55716800	3s.12f	1F*	1	3	1	7	0.55498440	1.573e+03	2.934e-02	2.054e-01
3s.15d	1D	1	2	0	5	0.55716800	3s.13p	1P*	1	1	1	3	0.55498830	1.962e+03	8.567e-02	2.570e-01
3s.15d	1D	1	2	0	5	0.55716800	3s.13f	1F*	1	3	1	7	0.55602420	1.342e+03	9.125e-02	6.388e-01
3s.15d	1D	1	2	0	5	0.55716800	3s.14p	1P*	1	1	1	3	0.55602720	1.821e+03	2.903e-01	8.708e-01
3s.15d	1D	1	2	0	5	0.55716800	3s.14f	1F*	1	3	1	7	0.55684840	5.319e+02	4.630e-01	3.241e+00
3s.15d	1D	1	2	0	5	0.55716800	3s.15p	1P*	1	1	1	3	0.55685110	1.689e+03	3.490e+00	1.047e+01
3s.16s	1S	1	0	0	1	0.55721200	3s.3p	1P*	1	1	1	3	0.31941062	5.010e+04	3.677e-05	1.103e-04
3s.16s	1S	1	0	0	1	0.55721200	3s.4p	1P*	1	1	1	3	0.44968048	2.662e+04	9.552e-05	2.866e-04
3s.16s	1S	1	0	0	1	0.55721200	3s.5p	1P*	1	1	1	3	0.49852264	2.643e+04	3.184e-04	9.551e-04
3s.16s	1S	1	0	0	1	0.55721200	3s.6p	1P*	1	1	1	3	0.52138137	2.104e+04	6.802e-04	2.041e-03
3s.16s	1S	1	0	0	1	0.55721200	3s.7p	1P*	1	1	1	3	0.53382230	1.557e+04	1.181e-03	3.544e-03
3s.16s	1S	1	0	0	1	0.55721200	3s.8p	1P*	1	1	1	3	0.54132160	1.157e+04	1.901e-03	5.703e-03
3s.16s	1S	1	0	0	1	0.55721200	3s.9p	1P*	1	1	1	3	0.54618280	8.788e+03	2.998e-03	8.994e-03
3s.16s	1S	1	0	0	1	0.55721200	3s.10p	1P*	1	1	1	3	0.54951500	6.859e+03	4.805e-03	1.441e-02
3s.16s	1S	1	0	0	1	0.55721200	3s.11p	1P*	1	1	1	3	0.55189390	5.527e+03	8.110e-03	2.433e-02
3s.16s	1S	1	0	0	1	0.55721200	3s.12p	1P*	1	1	1	3	0.55365060	4.627e+03	1.514e-02	4.541e-02
3s.16s	1S	1	0	0	1	0.55721200	3s.13p	1P*	1	1	1	3	0.55498830	4.071e+03	3.416e-02	1.025e-01
3s.16s	1S	1	0	0	1	0.55721200	3s.14p	1P*	1	1	1	3	0.55602720	3.990e+03	1.180e-01	3.539e-01
3s.16s	1S	1	0	0	1	0.55721200	3s.15p	1P*	1	1	1	3	0.55685110	6.223e+03	1.983e+00	5.948e+00
3s.15d	3D	3	2	0	15	0.55732000	3s.3p	3P*	3	1	1	9	0.19948414	8.751e+05	1.418e-03	1.276e-02
3s.15d	3D	3	2	0	15	0.55732000	3s.4p	3P*	3	1	1	9	0.43602120	3.450e+02	4.865e-06	4.378e-05
3s.15d	3D	3	2	0	15	0.55732000	3s.5p	3P*	3	1	1	9	0.49437523	9.310e+03	4.876e-04	4.388e-03
3s.15d	3D	3	2	0	15	0.55732000	3s.4f	3F*	3	3	1	21	0.49825087	1.580e+04	4.026e-04	8.454e-03
3s.15d	3D	3	2	0	15	0.55732000	3s.6p	3P*	3	1	1	9	0.51958967	1.034e+04	1.507e-03	1.357e-02
3s.15d	3D	3	2	0	15	0.55732000	3s.5f	3F*	3	3	1	21	0.52128370	4.297e+03	2.942e-04	6.179e-03
3s.15d	3D	3	2	0	15	0.55732000	3s.7p	3P*	3	1	1	9	0.53288523	8.861e+03	3.079e-03	2.771e-02
3s.15d	3D	3	2	0	15	0.55732000	3s.6f	3F*	3	3	1	21	0.53377948	4.747e+02	7.618e-05	1.600e-03
3s.15d	3D	3	2	0	15	0.55732000	3s.8p	3P*	3	1	1	9	0.54076870	7.202e+03	5.455e-03	4.909e-02
3s.15d	3D	3	2	0	15	0.55732000	3s.7f	3F*	3	3	1	21	0.54129958	5.506e+00	1.908e-06	4.006e-05
3s.15d	3D	3	2	0	15	0.55732000	3s.9p	3P*	3	1	1	9	0.54582950	5.812e+03	9.134e-03	8.221e-02
3s.15d	3D	3	2	0	15	0.55732000	3s.8f	1F*	1	3	1	7	0.54617128	2.583e+02	5.544e-04	3.881e-03
3s.15d	3D	3	2	0	15	0.55732000	3s.10p	3P*	3	1	1	9	0.54922800	4.795e+03	1.519e-02	1.367e-01
3s.15d	3D	3	2	0	15	0.55732000	3s.9f	3F*	3	3	1	21	0.54950572	5.835e+02	8.498e-04	1.785e-02
3s.15d	3D	3	2	0	15	0.55732000	3s.11p	3P*	3	1	1	9	0.55164600	4.014e+03	2.587e-02	2.328e-01
3s.15d	3D	3	2	0	15	0.55732000	3s.10f	3F*	3	3	1	21	0.55188736	8.429e+02	2.540e-03	5.334e-02
3s.15d	3D	3	2	0	15	0.55732000	3s.12p	3P*	3	1	1	9	0.55342800	3.415e+03	4.678e-02	4.210e-01
3s.15d	3D	3	2	0	15	0.55732000	3s.11f	3F*	3	3	1	21	0.55364726	1.022e+03	6.737e-03	1.415e-01
3s.15d	3D	3	2	0	15	0.55732000	3s.13p	3P*	3	1	1	9	0.55478100	2.948e+03	9.488e-02	8.539e-01
3s.15d	3D	3	2	0	15	0.55732000	3s.12f	3F*	3	3	1	21	0.55498440	1.125e+03	1.833e-02	3.850e-01
3s.15d	3D	3	2	0	15	0.55732000	3s.14p	3P*	3	1	1	9	0.55583100	2.582e+03	2.416e-01	2.175e+00
3s.15d	3D	3	2	0	15	0.55732000	3s.13f	3F*	3	3	1	21	0.55602420	1.123e+03	5.947e-02	1.249e+00
3s.15d	3D	3	2	0	15	0.55732000	3s.15p	3P*	3	1	1	9	0.55666200	2.258e+03	1.082e+00	9.739e+00
3s.15d	3D	3	2	0	15	0.55732000	3s.14f	3F*	3	3	1	21	0.55684840	7.963e+02	3.184e-01	6.686e+00
3s.16p	3P*	3	1	1	9	0.55733200	3s.4s	3S	3	0	0	3	0.37541836	3.518e+05	3.971e-03	1.191e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.3d	3D	3	2	0	15	0.43701672	3.633e+05	1.875e-03	2.812e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.5s	3S	3	0	0	3	0.47269724	4.524e+04	2.359e-03	7.076e-03
3s.16p	3P*	3	1	1	9	0.55733200	3s.4d	3D	3	2	0	15	0.49383643	5.254e+04	9.733e-04	1.460e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.6s	3S	3	0	0	3	0.50932360	1.356e+04	2.198e-03	6.593e-03
3s.16p	3P*	3	1	1	9	0.55733200	3s.5d	3D	3	2	0	15	0.51913279	7.662e+03	3.922e-04	5.883e-03
3s.16p	3P*	3	1	1	9	0.55733200	3p2	3P	3	1	0	9	0.52720103	5.009e+00	6.868e-07	6.181e-06
3s.16p	3P*	3	1	1	9	0.55733200	3s.7s	3S	3	0	0	3	0.52721550	5.886e+03	2.424e-03	7.271e-03
3s.16p	3P*	3	1	1	9	0.55733200	3s.6d	3D	3	2	0	15	0.53257046	6.669e+02	8.125e-05	1.219e-03
3s.16p	3P*	3	1	1	9	0.55733200	3s.8s	3S	3	0	0	3	0.53730801	3.202e+03	2.983e-03	8.949e-03
3s.16p	3P*	3	1	1	9	0.55733200	3s.7d	3D	3	2	0	15	0.54055244	1.261e+01	3.346e-06	5.019e-05
3s.16p	3P*	3	1	1	9	0.55733200	3s.9s	3S	3	0	0	3	0.54356300	2.018e+03	3.976e-03	1.193e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.8d	3D	3	2	0	15	0.54567744	3.442e+02	1.893e-04	2.840e-03
