Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf
3s.7p	3P*	3	1	1	3	0.53288182	3s.4d	1D	1	2	0	5	0.48419848	1.388e+01	4.374e-07	2.187e-06
3s.7p	3P*	3	1	1	3	0.53288182	3s.4d	3D	3	2	0	3	0.49383689	1.372e+04	1.120e-03	3.361e-03
3s.7p	3P*	3	1	1	3	0.53288182	3s.4d	3D	3	2	0	5	0.49383652	4.116e+04	2.017e-03	1.008e-02
3s.7p	3P*	3	1	1	3	0.53288182	3s.6s	3S	3	0	0	3	0.50932360	1.414e+05	3.171e-02	9.513e-02
3s.7p	3P*	3	1	1	3	0.53288182	3s.6s	1S	1	0	0	1	0.51201246	5.840e+00	5.008e-06	5.008e-06
3s.7p	3P*	3	1	1	3	0.53288182	3s.5d	1D	1	2	0	5	0.51311972	7.276e+00	1.392e-06	6.958e-06
3s.7p	3P*	3	1	1	3	0.53288182	3s.5d	3D	3	2	0	3	0.51913308	2.280e+04	1.501e-02	4.504e-02
3s.7p	3P*	3	1	1	3	0.53288182	3s.5d	3D	3	2	0	5	0.51913287	6.838e+04	2.702e-02	1.351e-01
3s.7p	3P*	3	1	1	3	0.53288182	3p2	3P	3	1	0	1	0.52682870	4.015e-01	4.092e-06	4.092e-06
3s.7p	3P*	3	1	1	3	0.53288182	3p2	3P	3	1	0	3	0.52701670	5.136e-01	1.859e-06	5.577e-06
3s.7p	3P*	3	1	1	3	0.53288182	3s.7s	3S	3	0	0	3	0.52721550	2.309e+05	8.952e-01	2.686e+00
3s.7p	3P*	3	1	1	3	0.53288182	3p2	3P	3	1	0	5	0.52738610	3.817e-01	9.441e-07	4.721e-06
3s.7p	3P*	3	1	1	3	0.53288182	3s.7s	1S	1	0	0	1	0.52862060	2.854e+00	5.869e-05	5.869e-05
3s.7p	3P*	3	1	1	3	0.53288182	3s.6d	1D	1	2	0	5	0.52874672	3.873e+00	1.692e-05	8.460e-05
3s.7p	3P*	3	1	1	3	0.53288182	3s.6d	3D	3	2	0	3	0.53257065	3.236e+01	4.161e-02	1.248e-01
3s.7p	3P*	3	1	1	3	0.53288182	3s.6d	3D	3	2	0	5	0.53257046	9.704e+01	7.477e-02	3.739e-01
3s.7p	3P*	3	1	1	5	0.53288856	3s.4s	3S	3	0	0	3	0.37541836	5.518e+05	4.617e-03	1.385e-02
3s.7p	3P*	3	1	1	5	0.53288856	3s.3d	3D	3	2	0	3	0.43701687	1.285e-02	2.902e-10	8.705e-10
3s.7p	3P*	3	1	1	5	0.53288856	3s.3d	3D	3	2	0	5	0.43701659	1.933e-01	2.618e-09	1.309e-08
3s.7p	3P*	3	1	1	5	0.53288856	3s.3d	3D	3	2	0	7	0.43701675	1.087e+00	1.052e-08	7.361e-08
3s.7p	3P*	3	1	1	5	0.53288856	3s.5s	3S	3	0	0	3	0.47269724	1.280e+05	7.310e-03	2.193e-02
3s.7p	3P*	3	1	1	5	0.53288856	3s.4d	3D	3	2	0	3	0.49383689	5.494e+02	7.475e-05	2.242e-04
3s.7p	3P*	3	1	1	5	0.53288856	3s.4d	3D	3	2	0	5	0.49383652	8.241e+03	6.727e-04	3.364e-03
3s.7p	3P*	3	1	1	5	0.53288856	3s.4d	3D	3	2	0	7	0.49383617	7.870e+04	4.590e-03	3.213e-02
3s.7p	3P*	3	1	1	5	0.53288856	3s.6s	3S	3	0	0	3	0.50932360	1.415e+05	5.287e-02	1.586e-01
3s.7p	3P*	3	1	1	5	0.53288856	3s.5d	3D	3	2	0	3	0.51913308	9.137e+02	1.002e-03	3.006e-03
3s.7p	3P*	3	1	1	5	0.53288856	3s.5d	3D	3	2	0	5	0.51913287	1.371e+04	9.017e-03	4.509e-02
3s.7p	3P*	3	1	1	5	0.53288856	3s.5d	3D	3	2	0	7	0.51913260	7.675e+04	3.607e-02	2.525e-01
3s.7p	3P*	3	1	1	5	0.53288856	3p2	3P	3	1	0	3	0.52701670	1.339e-01	8.061e-07	2.418e-06
3s.7p	3P*	3	1	1	5	0.53288856	3s.7s	3S	3	0	0	3	0.52721550	2.320e+05	1.495e+00	4.486e+00
3s.7p	3P*	3	1	1	5	0.53288856	3p2	3P	3	1	0	5	0.52738610	7.760e-01	3.191e-06	1.595e-05
3s.7p	3P*	3	1	1	5	0.53288856	3s.6d	3D	3	2	0	3	0.53257065	1.405e+00	2.885e-03	8.656e-03
3s.7p	3P*	3	1	1	5	0.53288856	3s.6d	3D	3	2	0	5	0.53257046	2.107e+01	2.593e-02	1.296e-01
3s.7p	3P*	3	1	1	5	0.53288856	3s.6d	3D	3	2	0	7	0.53257037	1.179e+02	1.036e-01	7.251e-01
3s.6f	1F*	1	3	1	7	0.53377902	3s.3d	1D	1	2	0	5	0.42285584	4.380e+06	6.200e-02	3.100e-01
3s.6f	1F*	1	3	1	7	0.53377902	3s.3d	3D	3	2	0	5	0.43701659	1.738e+05	3.236e-03	1.618e-02
3s.6f	1F*	1	3	1	7	0.53377902	3s.3d	3D	3	2	0	7	0.43701675	2.170e+04	2.885e-04	2.020e-03
3s.6f	1F*	1	3	1	7	0.53377902	3s.4d	1D	1	2	0	5	0.48419848	8.890e+05	6.300e-02	3.150e-01
3s.6f	1F*	1	3	1	7	0.53377902	3s.4d	3D	3	2	0	5	0.49383652	9.215e+04	1.007e-02	5.034e-02
3s.6f	1F*	1	3	1	7	0.53377902	3s.4d	3D	3	2	0	7	0.49383617	1.152e+04	8.987e-04	6.291e-03
3s.6f	1F*	1	3	1	7	0.53377902	3s.5d	1D	1	2	0	5	0.51311972	4.065e+05	1.660e-01	8.300e-01
3s.6f	1F*	1	3	1	7	0.53377902	3s.5d	3D	3	2	0	5	0.51913287	4.406e+04	3.580e-02	1.790e-01
3s.6f	1F*	1	3	1	7	0.53377902	3s.5d	3D	3	2	0	7	0.51913260	5.507e+03	3.196e-03	2.237e-02
3s.6f	1F*	1	3	1	7	0.53377902	3s.5g	3G	3	4	0	7	0.52181666	5.988e+01	5.209e-05	3.647e-04
3s.6f	1F*	1	3	1	7	0.53377902	3s.5g	1G	1	4	0	9	0.52181666	1.162e+04	7.864e-03	7.078e-02
3s.6f	1F*	1	3	1	7	0.53377902	3s.5g	3G	3	4	0	9	0.52181666	2.930e+03	1.983e-03	1.785e-02
3s.6f	1F*	1	3	1	7	0.53377902	3p2	3P	3	1	0	5	0.52738610	1.306e+02	5.571e-04	2.786e-03
3s.6f	1F*	1	3	1	7	0.53377902	3s.6d	1D	1	2	0	5	0.52874672	2.959e+05	2.037e+00	1.018e+01
3s.6f	1F*	1	3	1	7	0.53377902	3s.6d	3D	3	2	0	5	0.53257046	2.646e+02	3.157e-02	1.579e-01
3s.6f	1F*	1	3	1	7	0.53377902	3s.6d	3D	3	2	0	7	0.53257037	3.307e+01	2.818e-03	1.973e-02
3s.6f	3F*	3	3	1	5	0.53377948	3s.3d	3D	3	2	0	3	0.43701687	2.720e+06	6.030e-02	1.809e-01
3s.6f	3F*	3	3	1	5	0.53377948	3s.3d	3D	3	2	0	5	0.43701659	4.591e+05	6.105e-03	3.052e-02
3s.6f	3F*	3	3	1	5	0.53377948	3s.3d	3D	3	2	0	7	0.43701675	1.312e+04	1.246e-04	8.719e-04
3s.6f	3F*	3	3	1	5	0.53377948	3s.4d	3D	3	2	0	3	0.49383689	1.250e+06	1.620e-01	4.860e-01
3s.6f	3F*	3	3	1	5	0.53377948	3s.4d	3D	3	2	0	5	0.49383652	2.434e+05	1.900e-02	9.498e-02
3s.6f	3F*	3	3	1	5	0.53377948	3s.4d	3D	3	2	0	7	0.49383617	6.955e+03	3.877e-04	2.714e-03
3s.6f	3F*	3	3	1	5	0.53377948	3s.5d	3D	3	2	0	3	0.51913308	6.284e+05	6.078e-01	1.823e+00
3s.6f	3F*	3	3	1	5	0.53377948	3s.5d	3D	3	2	0	5	0.51913287	1.164e+05	6.753e-02	3.377e-01
