K	Conf	Term	2S+1	L	P	2J	CF	AS(Ryd)	NIST(Ryd)	Energy
235	3s.17s	3S	3	0	0	2	68	0.556495	-1.000000	0.556495
236	3s.16d	1D	1	2	0	4	67	0.556598	0.557770	0.557770
237	3s.17s	1S	1	0	0	0	68	0.556660	-1.000000	0.556660
238	3s.16d	3D	3	2	0	6	67	0.556746	-1.000000	0.556746
239	3s.16d	3D	3	2	0	4	67	0.556746	-1.000000	0.556746
240	3s.16d	3D	3	2	0	2	67	0.556746	-1.000000	0.556746
241	3s.17p	3P*	3	1	1	0	69	0.556755	-1.000000	0.556755
242	3s.17p	3P*	3	1	1	2	69	0.556755	-1.000000	0.556755
243	3s.17p	3P*	3	1	1	4	69	0.556756	-1.000000	0.556756
244	3s.17p	1P*	1	1	1	2	69	0.556862	0.558058	0.558058
245	3s.18s	3S	3	0	0	2	71	0.556992	-1.000000	0.556992
246	3s.17d	1D	1	2	0	4	70	0.557098	0.558269	0.558269
247	3s.18s	1S	1	0	0	0	71	0.557141	-1.000000	0.557141
248	3s.17d	3D	3	2	0	6	70	0.557201	-1.000000	0.557201
249	3s.17d	3D	3	2	0	4	70	0.557201	-1.000000	0.557201
250	3s.17d	3D	3	2	0	2	70	0.557201	-1.000000	0.557201
251	3s.18p	3P*	3	1	1	0	72	0.557209	-1.000000	0.557209
252	3s.18p	3P*	3	1	1	2	72	0.557210	-1.000000	0.557210
253	3s.18p	3P*	3	1	1	4	72	0.557210	-1.000000	0.557210
254	3s.18p	1P*	1	1	1	2	72	0.557312	0.558508	0.558508
255	3s.19s	3S	3	0	0	2	74	0.557407	-1.000000	0.557407
256	3s.18d	1D	1	2	0	4	73	0.557513	0.558683	0.558683
257	3s.19s	1S	1	0	0	0	74	0.557549	-1.000000	0.557549
258	3s.18d	3D	3	2	0	6	73	0.557582	-1.000000	0.557582
259	3s.18d	3D	3	2	0	4	73	0.557582	-1.000000	0.557582
260	3s.18d	3D	3	2	0	2	73	0.557582	-1.000000	0.557582
261	3s.19p	3P*	3	1	1	0	75	0.557589	-1.000000	0.557589
262	3s.19p	3P*	3	1	1	2	75	0.557589	-1.000000	0.557589
263	3s.19p	3P*	3	1	1	4	75	0.557589	-1.000000	0.557589
264	3s.19p	1P*	1	1	1	2	75	0.557682	0.558885	0.558885
265	3s.20s	3S	3	0	0	2	77	0.557755	-1.000000	0.557755
266	3s.19d	1D	1	2	0	4	76	0.557863	0.559032	0.559032
267	3s.19d	3D	3	2	0	6	76	0.557904	-1.000000	0.557904
268	3s.19d	3D	3	2	0	4	76	0.557904	-1.000000	0.557904
269	3s.19d	3D	3	2	0	2	76	0.557904	-1.000000	0.557904
270	3s.20p	3P*	3	1	1	0	78	0.557910	-1.000000	0.557910
271	3s.20p	3P*	3	1	1	2	78	0.557910	-1.000000	0.557910
272	3s.20p	3P*	3	1	1	4	78	0.557911	-1.000000	0.557911
273	3s.20s	1S	1	0	0	0	77	0.557961	-1.000000	0.557961
274	3s.20p	1P*	1	1	1	2	78	0.557973	0.559204	0.559204
275	3s.20d	1D	1	2	0	4	79	0.558160	0.559328	0.559328
276	3s.20d	3D	3	2	0	6	79	0.558179	-1.000000	0.558179
277	3s.20d	3D	3	2	0	4	79	0.558179	-1.000000	0.558179
278	3s.20d	3D	3	2	0	2	79	0.558179	-1.000000	0.558179
279	3p2	1D	1	2	0	4	13	0.632346	-1.000000	0.632346
280	3p2	1S	1	0	0	0	13	0.685453	-1.000000	0.685453
