K	Conf	Term	2S+1	L	P	2J	CF	AS (Ryd)	NIST (Ryd)	Energy
214	3s.9k	3K*	3	7	1	14	40	0.549622	0.549640	0.549640
215	3s.11s	3S	3	0	0	2	45	0.550582	0.550596	0.550596
216	3s.10d	1D	1	2	0	4	43	0.550614	0.550725	0.550725
217	3s.10d	3D	3	2	0	6	43	0.551625	0.551639	0.551639
218	3s.10d	3D	3	2	0	4	43	0.551625	0.551639	0.551639
219	3s.10d	3D	3	2	0	2	43	0.551625	0.551639	0.551639
220	3s.11p	1P*	1	1	1	2	46	0.551805	0.551894	0.551894
221	3s.10f	1F*	1	3	1	6	44	0.551864	0.551887	0.551887
222	3s.10f	3F*	3	3	1	4	44	0.551865	0.551887	0.551887
223	3s.10f	3F*	3	3	1	6	44	0.551865	0.551887	0.551887
224	3s.10f	3F*	3	3	1	8	44	0.551865	0.551887	0.551887
225	3s.12s	3S	3	0	0	2	49	0.552674	0.552688	0.552688
226	3s.11d	1D	1	2	0	4	47	0.552688	0.552772	0.552772
227	3s.11d	3D	3	2	0	6	47	0.553448	0.553461	0.553461
228	3s.11d	3D	3	2	0	4	47	0.553448	0.553461	0.553461
229	3s.11d	3D	3	2	0	2	47	0.553448	0.553461	0.553461
230	3s.12p	1P*	1	1	1	2	50	0.553575	0.553651	0.553651
231	3s.11f	1F*	1	3	1	6	48	0.553626	0.553647	0.553647
232	3s.11f	3F*	3	3	1	4	48	0.553626	0.553647	0.553647
233	3s.11f	3F*	3	3	1	6	48	0.553626	0.553647	0.553647
234	3s.11f	3F*	3	3	1	8	48	0.553626	0.553647	0.553647
235	3s.13s	3S	3	0	0	2	53	0.554239	0.554252	0.554252
236	3s.12d	1D	1	2	0	4	51	0.554243	0.554309	0.554309
237	3s.12d	3D	3	2	0	6	51	0.554828	0.554842	0.554842
238	3s.12d	3D	3	2	0	4	51	0.554828	0.554842	0.554842
239	3s.12d	3D	3	2	0	2	51	0.554828	0.554842	0.554842
240	3s.13p	1P*	1	1	1	2	54	0.554922	0.554988	0.554988
241	3s.12f	1F*	1	3	1	6	52	0.554964	0.554984	0.554984
242	3s.12f	3F*	3	3	1	4	52	0.554964	0.554984	0.554984
243	3s.12f	3F*	3	3	1	6	52	0.554964	0.554984	0.554984
244	3s.12f	3F*	3	3	1	8	52	0.554964	0.554984	0.554984
245	3s.13d	1D	1	2	0	4	55	0.555440	0.555493	0.555493
246	3s.14s	3S	3	0	0	2	57	0.555440	0.555453	0.555453
247	3s.13d	3D	3	2	0	6	55	0.555899	0.555912	0.555912
